OrderiD,Item_Id,CustomerCode,CountryName,customer_country,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName
1,5,H-1,USA,H-1USA,6,128.25,769.5,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC
1,26,H-1,USA,H-1USA,6,117,702,HAND TUFTED,TUFTED 60C,DUDLEY [9012],BEIGE,REC
1,17,H-1,USA,H-1USA,7,88,616,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC
1,496,H-1,USA,H-1USA,7,88,616,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],CHARCOAL,REC
1,30,H-1,USA,H-1USA,5,117,585,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC
1,34,H-1,USA,H-1USA,6,71.25,427.5,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],BROWN,REC
1,19,H-1,USA,H-1USA,35,11.25,393.75,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC
1,4,H-1,USA,H-1USA,5,71.25,356.25,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC
1,29,H-1,USA,H-1USA,4,88,352,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC
1,28,H-1,USA,H-1USA,7,40,280,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC
1,52,H-1,USA,H-1USA,6,40,240,HANDWOVEN,SHAGGY 0C FELTED,45 MULTI,MULTI,REC
1,24,H-1,USA,H-1USA,4,54,216,HAND TUFTED,TUFTED 60C,DUDLEY [9012],BEIGE,REC
1,20,H-1,USA,H-1USA,2,88,176,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC
1,41,H-1,USA,H-1USA,2,88,176,HAND TUFTED,TUFTED 60C,CHAMBERLAIN [SWR-104],BLACK,REC
1,42,H-1,USA,H-1USA,2,88,176,HAND TUFTED,TUFTED 30C MS+VISC 2/16 5PLY,CASTILO [8974],CHARCOAL,REC
1,48,H-1,USA,H-1USA,2,88,176,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC
1,49,H-1,USA,H-1USA,2,88,176,HANDWOVEN,SHAGGY 0C FELTED,DENIM,DENIM,REC
1,50,H-1,USA,H-1USA,2,88,176,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,LAVA,REC
1,11,H-1,USA,H-1USA,2,71.25,142.5,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,REC
1,10,H-1,USA,H-1USA,5,27,135,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC
1,13,H-1,USA,H-1USA,2,64,128,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,ROUND
1,37,H-1,USA,H-1USA,2,64,128,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],RUST,ROUND
1,44,H-1,USA,H-1USA,2,60.0625,120.125,HAND TUFTED,TUFTED 60C+10C,O.T. [9499],INDIGO,ROUND
1,21,H-1,USA,H-1USA,3,38.5,115.5,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC
1,3,H-1,USA,H-1USA,2,54,108,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC
1,36,H-1,USA,H-1USA,2,54,108,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],RUST,REC
1,51,H-1,USA,H-1USA,2,49,98,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,LAVA,ROUND
